t,x,y,u,k
0.45312500,0.10937500,0.45312500,0.00051453,0.00013615
0.45312500,0.14062500,0.39062500,0.00169507,0.00013940
0.45312500,0.17187500,0.35937500,0.00499136,0.00014883
0.45312500,0.42187500,0.01562500,0.58105338,0.01753746
0.45312500,0.45312500,0.32812500,0.64610153,0.01305040
0.45312500,0.73437500,0.14062500,0.69295764,0.00949798
0.45312500,0.79687500,0.67187500,0.58849001,0.01710076
0.45312500,0.79687500,0.92187500,0.58870596,0.01708767
0.45312500,0.98437500,0.14062500,0.00000119,0.00013476
0.48437500,0.07812500,0.98437500,0.00014820,0.00013516
0.48437500,0.26562500,0.45312500,0.26415226,0.00657483
0.48437500,0.32812500,0.57812500,0.41214624,0.01713917
0.48437500,0.51562500,0.29687500,0.86853492,0.00132230
0.48437500,0.54687500,0.07812500,0.79244614,0.00361553
0.48437500,0.70312500,0.29687500,0.69876629,0.00907544
0.48437500,0.76562500,0.10937500,0.65329272,0.01250038
0.48437500,0.79687500,0.10937500,0.64603269,0.01305565
0.51562500,0.04687500,0.39062500,0.00004264,0.00013487
0.51562500,0.14062500,0.85937500,0.00171019,0.00013944
0.51562500,0.17187500,0.42187500,0.00505994,0.00014903
0.51562500,0.39062500,0.10937500,0.52220958,0.01980366
0.51562500,0.42187500,0.23437500,0.57574755,0.01783171
0.51562500,0.70312500,0.14062500,0.69559282,0.00930546
0.51562500,0.92187500,0.70312500,0.00015561,0.00013518
0.54687500,0.04687500,0.04687500,0.00001869,0.00013481
0.54687500,0.07812500,0.73437500,0.00016049,0.00013519
0.54687500,0.23437500,0.60937500,0.10939819,0.00094586
0.54687500,0.32812500,0.32812500,0.41709590,0.01743135
0.54687500,0.32812500,0.57812500,0.41703874,0.01742805
0.54687500,0.35937500,0.85937500,0.46903971,0.01962023
0.54687500,0.60937500,0.42187500,0.73128134,0.00686140
0.57812500,0.42187500,0.35937500,0.57202709,0.01802887
0.57812500,0.42187500,0.98437500,0.57043403,0.01811088
0.57812500,0.45312500,0.60937500,0.62903887,0.01433511
0.57812500,0.64062500,0.73437500,0.71683186,0.00781005
0.57812500,0.98437500,0.29687500,0.00001426,0.00013480
0.60937500,0.07812500,0.64062500,0.00019571,0.00013529
0.60937500,0.39062500,0.54687500,0.52021825,0.01983716
0.60937500,0.42187500,0.14062500,0.57117689,0.01807282
0.60937500,0.45312500,0.98437500,0.62404656,0.01470197
0.60937500,0.48437500,0.32812500,0.69227731,0.00954790
0.60937500,0.70312500,0.64062500,0.69530880,0.00932614
0.60937500,0.79687500,0.04687500,0.66882449,0.01131012
0.60937500,0.92187500,0.76562500,0.00654134,0.00015346
0.64062500,0.29687500,0.14062500,0.36930645,0.01421242
0.64062500,0.51562500,0.54687500,0.76688612,0.00481227
0.64062500,0.70312500,0.23437500,0.69530922,0.00932611
0.64062500,0.82812500,0.70312500,0.63449389,0.01392882
0.67187500,0.10937500,0.42187500,0.00054726,0.00013624
0.67187500,0.14062500,0.98437500,0.00176895,0.00013960
0.67187500,0.48437500,0.17187500,0.67980742,0.01047633
0.67187500,0.60937500,0.70312500,0.73428696,0.00667203
0.67187500,0.67187500,0.17187500,0.70520735,0.00861523
0.67187500,0.76562500,0.23437500,0.67536116,0.01081248
0.67187500,0.79687500,0.10937500,0.65990555,0.01199316
0.70312500,0.14062500,0.14062500,0.00178731,0.00013965
0.70312500,0.20312500,0.60937500,0.03084465,0.00024502
0.70312500,0.42187500,0.04687500,0.56695545,0.01828483
0.70312500,0.48437500,0.04687500,0.67455214,0.01087388
0.70312500,0.57812500,0.14062500,0.75271708,0.00557568
0.70312500,0.67187500,0.20312500,0.70573890,0.00857767
0.70312500,0.82812500,0.92187500,0.66410172,0.01167144
0.70312500,0.95312500,0.95312500,0.01885051,0.00019508
0.73437500,0.23437500,0.20312500,0.21125026,0.00377426
0.73437500,0.42187500,0.04687500,0.56531662,0.01836427
0.73437500,0.70312500,0.23437500,0.69528145,0.00932814
0.73437500,0.92187500,0.10937500,0.55172116,0.01895809
0.73437500,0.92187500,0.79687500,0.55183601,0.01895358
