step,loss_pde,loss_bc,loss_u,loss_q
24400,32.803814,5.068659,2.3459935,3489.094
24500,32.76901,5.041928,2.3366861,3448.7776
24600,76.34921,5.017595,2.3286564,3410.0596
24700,38.71949,4.9965615,2.3197713,3369.883
24800,37.853065,4.993692,2.321869,3330.0525
24900,49.57429,4.9876137,2.3226514,3291.0583
25000,33.928555,4.9783683,2.3218026,3253.9136
25100,34.14089,4.9586225,2.3146415,3216.958
25200,36.09084,4.96338,2.3192003,3179.583
25300,34.640205,4.9539275,2.31778,3143.287
25400,64.06752,4.944418,2.3141394,3106.5613
25500,35.716457,4.9474,2.3203876,3071.532
25600,50.369648,4.9022865,2.2981272,3037.43
25700,35.449543,4.9241643,2.3130202,3001.684
25800,53.96964,4.8946943,2.300223,2968.3
25900,35.849274,4.9014616,2.30601,2933.366
26000,43.633995,4.86873,2.2928092,2900.1194
26100,36.18724,4.8742127,2.2967558,2867.018
26200,36.528156,4.872437,2.2981834,2833.768
26300,36.649303,4.846996,2.286963,2801.6726
26400,275.53235,4.808768,2.2653656,2772.2744
26500,36.98395,4.8221984,2.2790284,2737.5244
26600,74.715904,4.801716,2.268356,2706.1885
26700,37.1437,4.7883334,2.2655716,2674.6794
26800,37.265537,4.7910013,2.2690537,2642.6536
26900,57.42466,4.7571287,2.2516665,2612.419
27000,44.657997,4.782919,2.269962,2580.4106
27100,57.629513,4.749487,2.2540548,2549.5256
27200,36.43795,4.7391376,2.2504222,2519.1826
27300,34.022823,4.7124605,2.2388408,2489.436
27400,33.60964,4.679746,2.2246923,2459.9438
27500,33.13583,4.6692824,2.2221458,2429.5852
27600,32.720352,4.6291666,2.2035675,2400.2595
27700,32.95578,4.6135955,2.1988833,2370.0105
27800,32.355404,4.5719757,2.1796103,2340.686
27900,37.50119,4.536501,2.1621745,2310.9963
28000,32.18363,4.499111,2.147528,2281.4548
28100,34.816772,4.443312,2.1207733,2252.8696
28200,30.983292,4.4342675,2.1208224,2222.6602
28300,33.501896,4.3983827,2.1037753,2194.2485
