x,t,u_pred,k_pred
0.55778897,0.2964824,0.68015736,0.015019742
0.56281406,0.2964824,0.6705166,0.015018863
0.5678392,0.2964824,0.6602615,0.015017807
0.5728643,0.2964824,0.6494405,0.015016514
0.57788944,0.2964824,0.63809615,0.015014957
0.5829146,0.2964824,0.62627405,0.015013053
0.5879397,0.2964824,0.6140244,0.015010721
0.5929648,0.2964824,0.6013965,0.015007864
0.59799,0.2964824,0.58843493,0.015004349
0.60301507,0.2964824,0.5751966,0.014999995
0.6080402,0.2964824,0.5617227,0.014994562
0.6130653,0.2964824,0.5480633,0.014987751
0.61809045,0.2964824,0.534264,0.014979161
0.6231156,0.2964824,0.52036846,0.014968211
0.6281407,0.2964824,0.5064173,0.0149541665
0.63316584,0.2964824,0.49245074,0.014935988
0.6381909,0.2964824,0.47850537,0.014912263
0.6432161,0.2964824,0.46460688,0.0148809925
0.6482412,0.2964824,0.4507903,0.014839472
0.6532663,0.2964824,0.43707168,0.014783904
0.65829146,0.2964824,0.42347193,0.014709117
0.6633166,0.2964824,0.40999585,0.014607951
0.6683417,0.2964824,0.39665204,0.0144708725
0.67336684,0.2964824,0.38342685,0.014285112
0.67839193,0.2964824,0.37030083,0.014034169
0.6834171,0.2964824,0.35723245,0.013697117
0.68844223,0.2964824,0.3441602,0.013248536
0.6934673,0.2964824,0.33098543,0.012658678
0.69849247,0.2964824,0.31756508,0.011895213
0.7035176,0.2964824,0.30368692,0.010926731
0.7085427,0.2964824,0.28903466,0.009729991
0.71356785,0.2964824,0.27312505,0.008303064
0.71859294,0.2964824,0.25519717,0.0066870498
0.7236181,0.2964824,0.23401845,0.0049936883
0.72864324,0.2964824,0.20775163,0.003425244
0.7336683,0.2964824,0.17470121,0.0022259692
0.7386935,0.2964824,0.1365962,0.0015103155
0.74371856,0.2964824,0.10083544,0.0011644292
0.7487437,0.2964824,0.07395589,0.0010097486
0.75376886,0.2964824,0.05626297,0.0009374401
0.75879395,0.2964824,0.04476285,0.0008994368
0.7638191,0.2964824,0.03686762,0.00087667623
0.76884425,0.2964824,0.031087399,0.0008615126
0.77386934,0.2964824,0.026526928,0.0008503599
0.7788945,0.2964824,0.02267468,0.00084145827
0.7839196,0.2964824,0.019310832,0.0008340503
0.7889447,0.2964824,0.016371846,0.00082784204
0.79396987,0.2964824,0.0138447285,0.0008226932
0.79899496,0.2964824,0.011712432,0.0008184798
0.8040201,0.2964824,0.009939194,0.00081506354
0.80904526,0.2964824,0.008476615,0.0008123046
0.81407034,0.2964824,0.00727129,0.0008100698
0.8190955,0.2964824,0.006270647,0.00080824114
0.8241206,0.2964824,0.005432248,0.0008067267
0.8291457,0.2964824,0.004717827,0.0008054495
0.8341709,0.2964824,0.0040997267,0.00080435345
0.83919597,0.2964824,0.0035578012,0.00080340024
0.8442211,0.2964824,0.0030771494,0.0008025596
0.8492462,0.2964824,0.0026468039,0.00080181146
0.85427135,0.2964824,0.002259016,0.0008011411
0.8592965,0.2964824,0.0019103289,0.0008005414
0.8643216,0.2964824,0.00159657,0.0008000035
0.86934674,0.2964824,0.0013149977,0.0007995227
0.8743719,0.2964824,0.0010641813,0.0007990965
0.879397,0.2964824,0.0008407831,0.0007987179
0.8844221,0.2964824,0.0006453991,0.000798387
0.8894472,0.2964824,0.00047564507,0.00079810043
0.89447236,0.2964824,0.00033009052,0.0007978554
0.8994975,0.2964824,0.00020670891,0.0007976478
0.9045226,0.2964824,0.000104904175,0.00079747726
0.90954775,0.2964824,2.2888184e-05,0.00079733925
0.91457283,0.2964824,-4.041195e-05,0.000797233
0.919598,0.2964824,-8.678436e-05,0.00079715607
0.92462313,0.2964824,-0.0001180172,0.00079710316
0.9296482,0.2964824,-0.00013446808,0.00079707615
0.93467337,0.2964824,-0.00013780594,0.0007970701
0.9396985,0.2964824,-0.00012934208,0.00079708436
0.9447236,0.2964824,-0.00011026859,0.0007971165
0.94974875,0.2964824,-8.1539154e-05,0.00079716474
0.95477384,0.2964824,-4.4226646e-05,0.0007972272
0.959799,0.2964824,0.0,0.00079730153
0.96482414,0.2964824,5.0783157e-05,0.0007973861
0.9698492,0.2964824,0.00010740757,0.0007974812
0.9748744,0.2964824,0.00016880035,0.0007975846
0.9798995,0.2964824,0.0002348423,0.0007976954
0.9849246,0.2964824,0.00030362606,0.0007978106
0.98994976,0.2964824,0.00037562847,0.00079793204
0.99497485,0.2964824,0.00044965744,0.00079805666
1.0,0.2964824,0.00052535534,0.00079818425
0.0,0.30150753,-0.0001758337,0.0007970072
0.0050251256,0.30150753,-0.0001269579,0.0007970889
0.010050251,0.30150753,-7.855892e-05,0.00079716946
0.015075377,0.30150753,-3.0875206e-05,0.0007972494
0.020100502,0.30150753,1.6093254e-05,0.00079732836
0.025125628,0.30150753,6.198883e-05,0.0007974049
0.030150754,0.30150753,0.000108003616,0.0007974822
0.03517588,0.30150753,0.00015366077,0.0007975584
0.040201005,0.30150753,0.00019860268,0.0007976343
0.04522613,0.30150753,0.00024414062,0.0007977105
0.050251257,0.30150753,0.00028932095,0.00079778675
0.055276383,0.30150753,0.00033533573,0.00079786446
0.06030151,0.30150753,0.0003837347,0.000797946
0.06532663,0.30150753,0.00043320656,0.000798029
0.07035176,0.30150753,0.0004850626,0.00079811673
0.07537688,0.30150753,0.00053954124,0.00079820846
0.08040201,0.30150753,0.0005993843,0.00079830916
0.085427135,0.30150753,0.00066387653,0.00079841836
0.09045226,0.30150753,0.0007356405,0.00079853926
0.09547739,0.30150753,0.00081527233,0.0007986741
0.10050251,0.30150753,0.0009047985,0.00079882593
0.10552764,0.30150753,0.0010057688,0.0007989971
0.110552765,0.30150753,0.0011218786,0.0007991941
0.11557789,0.30150753,0.0012538433,0.0007994186
0.12060302,0.30150753,0.001405716,0.00079967745
0.12562814,0.30150753,0.0015825033,0.00079998
0.13065326,0.30150753,0.001786828,0.00080032984
0.1356784,0.30150753,0.002024293,0.0008007372
0.14070351,0.30150753,0.0023007393,0.00080121326
0.14572865,0.30150753,0.0026236773,0.0008017716
0.15075377,0.30150753,0.0030013323,0.00080242765
0.1557789,0.30150753,0.0034439564,0.00080320035
0.16080402,0.30150753,0.003963232,0.0008041127
0.16582915,0.30150753,0.0045731068,0.00080519164
0.17085427,0.30150753,0.0052883625,0.0008064685
0.1758794,0.30150753,0.0061274767,0.0008079813
0.18090452,0.30150753,0.007109165,0.00080977177
0.18592964,0.30150753,0.008255005,0.000811891
0.19095477,0.30150753,0.00958395,0.0008143887
0.1959799,0.30150753,0.011119008,0.00081732793
0.20100503,0.30150753,0.012884021,0.00082078035
0.20603015,0.30150753,0.014910102,0.0008248432
0.21105528,0.30150753,0.017239332,0.0008296499
0.2160804,0.30150753,0.019937754,0.0008354058
0.22110553,0.30150753,0.023103237,0.000842426
0.22613065,0.30150753,0.026882887,0.0008512062
0.23115578,0.30150753,0.031511307,0.0008625844
0.2361809,0.30150753,0.037400246,0.00087813474
0.24120604,0.30150753,0.045377374,0.00090131577
0.24623115,0.30150753,0.05711329,0.00094050524
0.2512563,0.30150753,0.075448036,0.0010167584
0.2562814,0.30150753,0.103361964,0.0011826413
0.26130652,0.30150753,0.14004672,0.0015564953
0.26633167,0.30150753,0.1781478,0.0023195015
0.2713568,0.30150753,0.21050298,0.003560936
0.2763819,0.30150753,0.23609865,0.0051443796
0.28140703,0.30150753,0.2568493,0.0068316213
0.28643215,0.30150753,0.274508,0.008429515
0.2914573,0.30150753,0.29022384,0.009832532
0.2964824,0.30150753,0.3047297,0.011005564
0.30150753,0.30150753,0.31849694,0.011953771
0.30653265,0.30150753,0.3318317,0.01270116
0.3115578,0.30150753,0.34493256,0.0132785905
0.31658292,0.30150753,0.3579316,0.013717744
0.32160804,0.30150753,0.37091756,0.014047741
0.32663316,0.30150753,0.38394833,0.014293581
0.3316583,0.30150753,0.39706397,0.01447578
0.33668342,0.30150753,0.41028595,0.014610479
0.34170854,0.30150753,0.42362523,0.014710093
0.34673366,0.30150753,0.4370823,0.014783963
0.3517588,0.30150753,0.45064712,0.014838971
0.35678393,0.30150753,0.46430588,0.01488021
0.36180905,0.30150753,0.47803426,0.014911336
0.36683416,0.30150753,0.49180722,0.014935031
0.37185928,0.30150753,0.5055921,0.0149532175
0.37688443,0.30150753,0.51935315,0.014967299
0.38190955,0.30150753,0.5330548,0.014978302
0.38693467,0.30150753,0.5466552,0.014986962
0.3919598,0.30150753,0.5601125,0.014993833
0.39698493,0.30150753,0.57338357,0.014999325
0.40201005,0.30150753,0.5864234,0.015003744
0.40703517,0.30150753,0.5991874,0.015007312
0.4120603,0.30150753,0.61162925,0.015010222
0.41708544,0.30150753,0.6237023,0.015012595
0.42211056,0.30150753,0.63536024,0.015014537
0.42713568,0.30150753,0.6465591,0.015016139
0.4321608,0.30150753,0.65725243,0.015017464
0.43718594,0.30150753,0.66739714,0.015018555
0.44221106,0.30150753,0.6769514,0.015019461
0.44723618,0.30150753,0.68587303,0.015020211
0.4522613,0.30150753,0.6941254,0.015020832
0.45728642,0.30150753,0.7016721,0.015021342
